XBee USB Dongle,,,,,,
Bill of Materials,,,,,,
Jack Christensen Mar-2018,,,,,,
https://github.com/JChristensen/xbee-usb,,,,,,
,,,,,,
Part,Value,Order Qty.,Mouser #,Mfr. #,Manufacturer,Description
A1,2mm headers,2,855-M22-7131042,M22-7131042,Harwin,Headers & Wire Housings 10 PIN SIL VERTICAL GOLD+TIN SOCKET
A1,XB24CZ7WIT-004 (optional/or as desired),1,888-XB24CZ7WIT-004,XB24CZ7WIT-004,Digi International,Zigbee / 802.15.4 Modules XBee ZB S2C TH Wire Antenna
C1,10nF,1,80-C0805C103J5R,C0805C103J5RACTU,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 10000pF X7R 5%
"C2,3",47pF,2,603-CC805JRNPO9BN470,CC0805JRNPO9BN470,Yageo,Multilayer Ceramic Capacitors MLCC - SMD/SMT 47pF 50V NPO 5%
"C4,5,9",100nF,3,80-C0805C104K3R,C0805C104K3RACTU,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 0.1uF X7R 10%
"C6,7,8",4.7uF,3,963-EMK212ABJ475KG-T,EMK212ABJ475KG-T,Taiyo Yuden,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7uF 16V X5R 10% 0805
D1,ASSOC (Green),1,710-150080GS75000,150080GS75000,Wurth Electronics,Standard LEDs - SMD WL-SMCW SMDMono TpVw Waterclr 0805 Green
D2,RSSI (Red),1,604-AP2012SRCPRV,AP2012SRCPRV,Kingbright,Standard LEDs - SMD RED WATER CLEAR 0805
"D3,4",TX/RX (Yellow),2,604-APT2012SYCK,APT2012SYCK,Kingbright,Standard LEDs - SMD YELLOW WATER CLEAR
JP1,USB,1,490-UP2-AH-1-TH,UP2-AH-1-TH,CUI Inc.,USB Connectors USB 2.0 type A plug 4 pin Horizontal TH
L1,Ferrite Bead,1,875-MI0805K400R-10,MI0805K400R-10,Laird,Ferrite Beads 40ohms 100MHz 1.5A Monolithic 0805 SMD
"R1,2",27Î©,2,603-RC0805FR-0727RL,RC0805FR-0727RL,Yageo,Thick Film Resistors - SMD 27 OHM 1%
R3-6,1K,4,603-RC0805FR-071KL,RC0805FR-071KL,Yageo,Thick Film Resistors - SMD 1K OHM 1%
S1,Reset,1,653-B3F-1022,B3F-1022,Omron,Tactile Switches 6X6 Flat 5mm Btn Force 150g w/out Grd
U1,FT231X,1,895-FT231XS-R,FT231XS-R,FTDI,USB Interface IC USB to Full Serial UART IC SSOP-20
U2,MCP1700,1,579-MCP1700T3302E/TT,MCP1700T-3302E/TT,Microchip,LDO Voltage Regulators 250mA Adj LDO 2%
